estacion,tempaire,maxima,minima
AGSAG,19.25,28,10.5
ANVAG,17.4,27.3,7.5
CDRAG,20,30,10
CNSAG,17.5,28,7
AGSAG,9.5,19,0
ANVAG,20.5,31,10
CDRAG,20,30,10
CNSAG,20.1,30,10.2
AGSAG,18.25,28,8.5
ANVAG,17.25,26,8.5
CDRAG,17.5,27.5,7.5
CNSAG,14.4,26.4,2.5
AGSAG,18,25,11
ANVAG,18,25,11
CDRAG,18.5,26,11
CNSAG,16,19.5,12.5
AGSAG,17.5,22,13
ANVAG,25.3,36.8,13.9
CDRAG,13,21,5
CNSAG,30.4,41.3,19.6
AGSAG,22,29,15
ANVAG,17.5,27,8
CDRAG,25.6,32.8,18.4
CNSAG,21.7,31.6,11.8
AGSAG,19,25,13
ANVAG,17.25,27.5,7
CDRAG,13.5,17,10
CNSAG,26,34,18
AGSAG,26.55,36.5,16.6
ANVAG,26.5,35.2,17.8
CDRAG,23.5,33,14
CNSAG,23.5,35,12
AGSAG,22.75,32.5,13
ANVAG,27,38,16
CDRAG,23.75,33.5,14
CNSAG,21.5,29,14
AGSAG,20.25,28.5,12
ANVAG,23.5,37,10
CDRAG,21,26,16
CNSAG,19.5,27,12
AGSAG,27.5,34,21
ANVAG,26.5,32,21
CDRAG,27.5,30,25
CNSAG,27.5,32,23
AGSAG,27.5,33,22
ANVAG,29.5,38,21
CDRAG,25.7,31.8,19.6
CNSAG,27.5,33,22
AGSAG,28.5,35,22
ANVAG,26,31,21
CDRAG,29,38,20
CNSAG,29.5,36,23
AGSAG,26,29,23
ANVAG,27,37,17
CDRAG,28,36,20
CNSAG,12,22,2
AGSAG,18.75,30.2,7.3
ANVAG,20.5,29,12
CDRAG,22.5,29,16
CNSAG,19.25,29,9.5
AGSAG,26.15,39.7,12.6
ANVAG,21.5,30,13
CDRAG,28.15,41.7,14.6
CNSAG,23.5,34,13
AGSAG,22,30,14
ANVAG,19.5,29,10
CDRAG,25.5,34,17
CNSAG,23.475,34.45,12.5
AGSAG,17.45,26.4,8.5
ANVAG,23.4,32,14.8
CDRAG,26.1,41.8,10.4
CNSAG,14.9,27,2.8
AGSAG,20,31,9
ANVAG,28.7,41,16.5
CDRAG,19,30,8
CNSAG,21.25,29,13.5
AGSAG,26,34,18
ANVAG,26.5,34.5,18.5
CDRAG,25.7,33,18.5
CNSAG,26.5,33,20
AGSAG,24.7,33,16.5
CNSAG,25,34,16
AGSAG,28.2,36,20.5
CNSAG,27,32.5,21.5
AGSAG,27.7,36.5,19
MLGBS,24,30,18
PLNBS,28.5,35.5,21.5
LRTBS,28,38,18
MLGBS,28.75,36.5,21
PLNBS,28.5,36,21
LRTBS,32.7,38.3,27.1
MLGBS,27.5,34.5,20.5
PLNBS,30.25,37,23.5
LRTBS,27.5,36,19
MLGBS,27.75,33.5,22
PLNBS,24.3,34,14.6
RBRBS,20.55,25.7,15.4
SANBS,29.9,36.8,23
SARBS,30.25,37,23.5
SBABS,29,36,22
